Regional-Schlüssel;Stadtkreis/kreisfreie Stadt/Landkeis;within;home;incoming;outgoing
033530026026;Neu Wulmstorf;2320;570;3900;7590
033530029029;Rosengarten;810;600;1890;5290
033530031031;Seevetal;4490;1250;9010;14560
033530032032;Stelle;1150;290;2110;4260
033530040040;Winsen (Luhe), Stadt;6430;1070;6600;9330
033535406035;Tostedt;1760;370;2670;4520
033550001001;Adendorf;870;380;2460;3970
033550022022;Lüneburg, Hansestadt;20480;1760;26450;12000
033560005005;Lilienthal;2630;740;3320;5690
033560007007;Osterholz-Scharmbeck, Stadt;5350;910;6080;9100
033560008008;Ritterhude;1460;370;3260;5220
033560009009;Schwanewede;2280;780;3730;6660
033570008008;Bremervörde, Stadt;4810;530;4810;3930
033570039039;Rotenburg (Wümme), Stadt;6370;430;10650;3710
033570041041;Scheeßel;2300;470;1960;4210
033570051051;Visselhövede, Stadt;2050;320;1670;2550
033575408057;Zeven, Stadt;3660;350;6010;3050
033580008008;Bad Fallingbostel, Stadt;2410;250;3200;2750
033580016016;Munster, Stadt;3980;500;5380;2620
033580019019;Schneverdingen, Stadt;4110;620;1770;4230
033580021021;Soltau, Stadt;6680;540;7270;3050
033580022022;Walsrode, Stadt;5530;720;4340;5240
033590010010;Buxtehude, Stadt;7270;1290;9550;11930
033590013013;Drochtersen;1610;470;1040;3540
033590028028;Jork;1480;510;2070;3890
033590038038;Stade, Hansestadt;12920;1540;17510;7670
033595403023;Harsefeld, Flecken;1680;280;2280;4220
033600025025;Uelzen, Stadt;10320;480;10270;4800
033610001001;Achim, Stadt;4480;500;7760;9280
033610005005;Kirchlinteln;950;470;1220;3820
033610006006;Langwedel, Flecken;1510;460;1590;5250
033610008008;Ottersberg, Flecken;2070;420;3680;3520
033610009009;Oyten;1780;460;3240;5430
033610012012;Verden (Aller), Stadt;8370;710;12700;4110
034010000000;Delmenhorst, Stadt;14740;1290;12700;17440
034020000000;Emden, Stadt;18100;1190;18680;3390
034030000000;Oldenburg (Oldenburg), Stadt;55690;4540;40300;21580
034040000000;Osnabrück, Stadt;51060;5330;56540;22000
034050000000;Wilhelmshaven, Stadt;24970;2170;14310;6640
034510001001;Apen;2040;300;1380;3170
034510002002;Bad Zwischenahn;5050;1010;6900;6880
034510004004;Edewecht;3910;770;4160;6400
034510005005;Rastede;3630;460;5210;6330
034510007007;Westerstede, Stadt;6050;670;6690;4570
034510008008;Wiefelstede;2210;480;3780;5670
034520001001;Aurich, Stadt;11300;1280;11490;5750
034520006006;Großefehn;1940;480;1880;3780
034520012012;Ihlow;1270;740;1340;3810
034520014014;Krummhörn;1780;550;1010;3280
034520019019;Norden, Stadt;6260;770;5950;3210
034520023023;Südbrookmerland;2330;430;1840;5610
034520025025;Wiesmoor, Stadt;2540;540;2370;2800
034530001001;Barßel;2390;460;1790;2880
034530004004;Cloppenburg, Stadt;8830;940;9630;6550
034530005005;Emstek;2100;330;2830;3510
034530007007;Friesoythe, Stadt;4700;1010;4320;4600
034530008008;Garrel;3540;570;2980;3270
034530011011;Löningen, Stadt;3530;470;2500;2770
034530013013;Saterland;2250;910;2460;2910
034540014014;Geeste;1720;390;2030;3700
034540018018;Haren (Ems), Stadt;7080;690;4640;4390
034540019019;Haselünne, Stadt;2750;330;2420;3110
034540032032;Lingen (Ems), Stadt;17150;1460;13830;8190
034540035035;Meppen, Stadt;10330;730;11000;5710
034540041041;Papenburg, Stadt;11420;1050;12340;4980
034550007007;Jever, Stadt;2610;340;3310;3600
034550015015;Schortens, Stadt;2710;860;4550;5990
034550020020;Wangerland;1700;600;1390;2160
034550026026;Varel, Stadt;6540;540;5410;4510
034550027027;Zetel;1440;480;1610;3590
034560001001;Bad Bentheim, Stadt;3420;660;3760;3620
034560015015;Nordhorn, Stadt;15370;1860;9430;8830
034560025025;Wietmarschen;1930;390;1960;3780
034565403021;Schüttorf, Stadt;2820;350;3050;2870
034570013013;Leer (Ostfriesland), Stadt;10090;1020;15080;4890
034570014014;Moormerland;3040;580;1660;6520
034570017017;Ostrhauderfehn;1380;310;1340;2940
034570018018;Rhauderfehn;2090;550;1960;4920
034570020020;Uplengen;2140;410;1610;2940
034570021021;Weener, Stadt;2500;570;1480;4060
034570022022;Westoverledingen;2280;510;990;6660
034580005005;Ganderkesee;4570;720;4960;9870
034580007007;Großenkneten;2390;320;3050;3950
034580009009;Hatten;1580;430;1790;5110
034580010010;Hude (Oldb);2580;540;2630;5380
034580013013;Wardenburg;2070;630;2080;5760
034580014014;Wildeshausen, Stadt;5360;490;5040;3860
034590003003;Bad Essen;3310;520;3190;3730
034590004004;Bad Iburg, Stadt;1790;480;2420;3520
034590008008;Belm;1300;430;2050;5060
034590012012;Bissendorf;1610;290;2530;5720
034590013013;Bohmte;2270;480;1750;3850
034590014014;Bramsche, Stadt;6300;1030;5040;7460
034590019019;Georgsmarienhütte, Stadt;6130;800;8980;9840
034590020020;Hagen am Teutoburger Wald;1860;350;1210;5280
034590021021;Hasbergen;1070;340;2080;4480
034590022022;Hilter am Teutoburger Wald;1470;290;3090;4040
034590024024;Melle, Stadt;13010;2140;7380;9140
034590033033;Wallenhorst;3600;550;4210;8390
034595401030;Quakenbrück, Stadt;2810;300;4020;2950
034600002002;Damme, Stadt;4950;380;4720;3450
034600003003;Dinklage, Stadt;2910;500;2620;3680
034600006006;Lohne (Oldenburg), Stadt;7970;840;7610;4590
034600009009;Vechta, Stadt;9850;700;10960;5450
034610002002;Brake (Unterweser), Stadt;3640;410;4070;2720
034610007007;Nordenham, Stadt;8670;650;4250;2830
034620005005;Friedeburg;1300;440;1520;3170
034620019019;Wittmund, Stadt;4770;650;4910;3830
040110000000;Bremen, Stadt;207440;14150;110160;37930
040120000000;Bremerhaven, Stadt;36040;1150;27730;9460
051110000000;Düsseldorf, Stadt;201290;18830;244360;77760
051120000000;Duisburg, Stadt;120680;9520;91620;79070
051130000000;Essen, Stadt;166450;12200;119520;80750
051140000000;Krefeld, Stadt;61910;6690;49350;36310
051160000000;Mönchengladbach, Stadt;70210;7440;41850;40870
051170000000;Mülheim an der Ruhr, Stadt;36790;4290;34680;36370
051190000000;Oberhausen, Stadt;44320;4260;35890;46020
051200000000;Remscheid, Stadt;33470;3010;19300;15290
051220000000;Solingen, Stadt;46090;3880;16880;25290
051240000000;Wuppertal, Stadt;105360;9290;48130;44110
051540004004;Bedburg-Hau;1530;400;2510;4660
051540008008;Emmerich am Rhein, Stadt;7820;980;4750;6190
051540012012;Geldern, Stadt;7610;1090;8340;8130
051540016016;Goch, Stadt;6860;720;4530;9310
051540020020;Issum;1530;400;1660;4250
051540024024;Kalkar, Stadt;2340;560;3060;4330
051540028028;Kerken;1380;440;1180;4490
051540032032;Kevelaer, Stadt;5660;1080;3720;7040
051540036036;Kleve, Stadt;12090;1680;11870;9530
051540044044;Rees, Stadt;4110;460;2960;5940
051540052052;Straelen, Stadt;4160;620;5150;4030
051540064064;Weeze;1470;230;2010;3260
051580004004;Erkrath, Stadt;4900;1420;9780;14370
051580008008;Haan, Stadt;4550;980;8080;8970
051580012012;Heiligenhaus, Stadt;4120;960;6380;7420
051580016016;Hilden, Stadt;8470;1780;18810;18090
051580020020;Langenfeld (Rheinland), Stadt;11260;1810;17810;16180
051580024024;Mettmann, Stadt;5690;1310;9420;10770
051580026026;Monheim am Rhein, Stadt;5120;1020;8610;12870
051580028028;Ratingen, Stadt;15860;3800;28120;23740
051580032032;Velbert, Stadt;18500;2270;17410;17570
051580036036;Wülfrath, Stadt;2990;770;4430;6670
051620004004;Dormagen, Stadt;12960;1500;11810;15850
051620008008;Grevenbroich, Stadt;13740;1800;14120;15000
051620012012;Jüchen;1870;910;2380;7880
051620016016;Kaarst, Stadt;4620;1300;6350;14390
051620020020;Korschenbroich, Stadt;3340;1200;5580;12200
051620022022;Meerbusch, Stadt;6330;2690;10490;18110
051620024024;Neuss, Stadt;32810;4070;46440;35110
051620028028;Rommerskirchen;980;340;1420;4890
051660004004;Brüggen;2070;360;2920;5330
051660008008;Grefrath;1660;440;2650;5140
051660012012;Kempen, Stadt;6790;990;9270;9640
051660016016;Nettetal, Stadt;9050;970;6270;10780
051660020020;Niederkrüchten;1700;590;1510;5200
051660024024;Schwalmtal;2580;590;3430;6790
051660028028;Tönisvorst, Stadt;3430;920;5000;10490
051660032032;Viersen, Stadt;15890;2000;17310;17400
051660036036;Willich, Stadt;8140;1970;12440;15910
051700004004;Alpen;1590;380;2870;4690
051700008008;Dinslaken, Stadt;11100;1790;11510;19480
051700012012;Hamminkeln, Stadt;4660;910;4990;8380
051700016016;Hünxe;1170;480;2850;5220
051700020020;Kamp-Lintfort, Stadt;5520;820;10200;9820
051700024024;Moers, Stadt;17300;2590;20030;28490
051700028028;Neukirchen-Vluyn, Stadt;3300;630;4430;8550
051700032032;Rheinberg, Stadt;4630;780;5590;10070
051700036036;Schermbeck;2030;540;3110;4140
051700044044;Voerde (Niederrhein), Stadt;4770;1000;5510;11740
051700048048;Wesel, Stadt;14950;1740;16390;11940
051700052052;Xanten, Stadt;4020;610;2470;6130
053140000000;Bonn, Stadt;102110;10210;118150;42390
053150000000;Köln, Stadt;350190;36220;253230;117820
053160000000;Leverkusen, Stadt;39980;3970;37210;29800
053340002002;Aachen, Stadt;78820;7750;60340;26470
053340004004;Alsdorf, Stadt;6630;990;8730;13090
053340008008;Baesweiler, Stadt;2650;660;3400;8830
053340012012;Eschweiler, Stadt;10330;1400;10620;13690
053340016016;Herzogenrath, Stadt;5880;970;6450;15740
053340020020;Monschau, Stadt;2240;540;2860;3560
053340028028;Simmerath;2640;400;2650;4590
053340032032;Stolberg (Rhld.), Stadt;10360;1280;9350;14170
053340036036;Würselen, Stadt;4950;820;11450;12660
053580004004;Aldenhoven;1390;300;2230;4800
053580008008;Düren, Stadt;22260;2600;24640;14760
053580024024;Jülich, Stadt;6780;1010;11040;7410
053580028028;Kreuzau;1830;490;2760;6020
053580032032;Langerwehe;1040;460;1110;4900
053580036036;Linnich, Stadt;1640;270;3290;4160
053580044044;Nideggen, Stadt;1090;460;880;3220
053580048048;Niederzier;1490;430;3000;4590
053580052052;Nörvenich;1080;330;2560;4030
053620004004;Bedburg, Stadt;2880;620;2910;7930
053620008008;Bergheim, Stadt;9420;1890;13630;15660
053620012012;Brühl, Stadt;7650;1070;13100;12340
053620016016;Elsdorf, Stadt;1870;480;2260;7940
053620020020;Erftstadt, Stadt;6320;1610;5250;16000
053620024024;Frechen, Stadt;7210;1210;15830;15990
053620028028;Hürth, Stadt;8620;2300;16640;17440
053620032032;Kerpen, Stadt;9220;1930;12640;19420
053620036036;Pulheim, Stadt;6140;1830;8480;17410
053620040040;Wesseling, Stadt;5810;1050;11610;10250
053660004004;Bad Münstereifel, Stadt;2480;760;2280;5330
053660016016;Euskirchen, Stadt;12270;1380;14060;13160
053660024024;Kall;1710;290;3130;3590
053660028028;Mechernich, Stadt;4490;870;4620;7930
053660036036;Schleiden, Stadt;2640;400;2630;3270
053660040040;Weilerswist;1660;480;3030;5670
053660044044;Zülpich, Stadt;3260;710;3540;6110
053700004004;Erkelenz, Stadt;7370;1450;8860;12620
053700008008;Gangelt;1720;370;1940;3420
053700012012;Geilenkirchen, Stadt;4880;690;7050;7350
053700016016;Heinsberg, Stadt;9540;1230;10370;9130
053700020020;Hückelhoven, Stadt;5660;1050;5410;10530
053700024024;Selfkant;990;330;600;3600
053700028028;Übach-Palenberg, Stadt;3290;380;3860;7200
053700036036;Wassenberg, Stadt;1670;380;2070;6190
053700040040;Wegberg, Stadt;3890;780;4460;9050
053740004004;Bergneustadt, Stadt;3200;440;3220;4700
053740008008;Engelskirchen;3370;630;4110;5920
053740012012;Gummersbach, Stadt;11150;1160;14410;10530
053740016016;Hückeswagen, Stadt;2700;420;3220;4660
053740020020;Lindlar;4390;760;3690;6120
053740024024;Marienheide;1890;320;2680;4390
053740028028;Morsbach;2210;300;2810;2570
053740032032;Nümbrecht;2500;500;2510;5100
053740036036;Radevormwald, Stadt;5500;520;4550;5510
053740040040;Reichshof;2580;650;3700;5900
053740044044;Waldbröl, Stadt;3550;450;4280;4760
053740048048;Wiehl, Stadt;4650;600;7930;6950
053740052052;Wipperfürth, Stadt;5770;420;4610;4740
053780004004;Bergisch Gladbach, Stadt;21940;2790;23640;27340
053780008008;Burscheid, Stadt;2730;550;5000;5710
053780012012;Kürten;2860;770;2830;6790
053780016016;Leichlingen (Rheinland), Stadt;3490;920;3390;9330
053780020020;Odenthal;940;640;1060;5920
053780024024;Overath, Stadt;3990;1100;4730;8650
053780028028;Rösrath, Stadt;2930;1050;3990;9770
053780032032;Wermelskirchen, Stadt;7700;1300;6170;8660
053820004004;Alfter;1650;810;2410;9610
053820008008;Bad Honnef, Stadt;3540;1090;5800;7270
053820012012;Bornheim, Stadt;5190;1490;5740;17750
053820016016;Eitorf;3210;620;2840;4720
053820020020;Hennef (Sieg), Stadt;6480;1360;8230;15150
053820024024;Königswinter, Stadt;4900;1470;6210;13100
053820028028;Lohmar, Stadt;3310;750;5700;10970
053820032032;Meckenheim, Stadt;3050;830;7440;7000
053820036036;Much;2040;510;2540;4600
053820040040;Neunkirchen-Seelscheid;2380;760;2200;7000
053820044044;Niederkassel, Stadt;4210;920;3520;13520
053820048048;Rheinbach, Stadt;4180;930;5470;8100
053820052052;Ruppichteroth;940;430;1270;3690
053820056056;Sankt Augustin, Stadt;6620;1070;13930;18600
053820060060;Siegburg, Stadt;6330;930;16320;11910
053820064064;Swisttal;1680;580;2460;6260
053820068068;Troisdorf, Stadt;12510;1860;18520;21690
053820072072;Wachtberg;1660;770;2050;7260
053820076076;Windeck;2660;540;1350;5140
055120000000;Bottrop, Stadt;24720;2120;20570;27120
055130000000;Gelsenkirchen, Stadt;56280;3990;42920;42460
055150000000;Münster, Stadt;112970;8230;77470;32810
055540004004;Ahaus, Stadt;12230;1080;9740;7220
055540008008;Bocholt, Stadt;23510;2790;12920;10460
055540012012;Borken, Stadt;9800;1380;10270;10580
055540016016;Gescher, Stadt;3630;590;2990;4530
055540020020;Gronau (Westf.), Stadt;13830;1020;6210;7520
055540032032;Isselburg, Stadt;2120;440;2160;3170
055540040040;Raesfeld;2250;300;1540;3650
055540044044;Reken;2840;300;2600;3940
055540048048;Rhede, Stadt;3880;430;3340;5780
055540056056;Stadtlohn, Stadt;5500;470;4260;4740
055540064064;Velen;2130;260;2000;4390
055540068068;Vreden, Stadt;7360;580;4640;4030
055580004004;Ascheberg;2600;450;1980;4850
055580008008;Billerbeck, Stadt;2210;360;2210;3580
055580012012;Coesfeld, Stadt;10360;940;10340;7710
055580016016;Dülmen, Stadt;10740;1600;6040;11900
055580020020;Havixbeck;1300;380;1840;3960
055580024024;Lüdinghausen, Stadt;5270;540;4600;6100
055580028028;Nordkirchen;1330;210;1990;3300
055580032032;Nottuln;2360;790;3060;6900
055580036036;Olfen, Stadt;1650;340;1700;4060
055580040040;Rosendahl;1520;370;2060;3760
055580044044;Senden;2890;620;3650;7050
055620004004;Castrop-Rauxel, Stadt;11480;1650;8980;19910
055620008008;Datteln, Stadt;6100;840;7680;8710
055620012012;Dorsten, Stadt;14020;2450;9590;19090
055620014014;Gladbeck, Stadt;11840;1320;11570;18490
055620016016;Haltern am See, Stadt;6800;1380;3570;10550
055620020020;Herten, Stadt;9700;760;11540;15730
055620024024;Marl, Stadt;17560;1330;19110;17990
055620028028;Oer-Erkenschwick, Stadt;3340;640;3710;9650
055620032032;Recklinghausen, Stadt;20270;1830;24860;28580
055620036036;Waltrop, Stadt;4690;790;3560;8410
055660004004;Altenberge;1300;400;2970;3540
055660008008;Emsdetten, Stadt;9640;1250;7770;7280
055660012012;Greven, Stadt;7280;1020;8670;9730
055660016016;Hörstel, Stadt;3450;480;3950;6350
055660028028;Ibbenbüren, Stadt;12400;990;11690;11690
055660040040;Lengerich, Stadt;5430;610;6040;4190
055660048048;Lotte;1260;340;3400;5540
055660056056;Mettingen;2210;290;3780;3770
055660060060;Neuenkirchen;2140;390;2730;4300
055660068068;Ochtrup, Stadt;4620;530;3420;4370
055660072072;Recke;1580;310;1780;3970
055660076076;Rheine, Stadt;20790;1590;15460;14190
055660084084;Steinfurt, Stadt;7490;840;6720;8260
055660092092;Westerkappeln;1350;270;2560;3970
055700004004;Ahlen, Stadt;11340;1830;8470;9550
055700008008;Beckum, Stadt;9620;650;8670;7390
055700016016;Drensteinfurt, Stadt;1790;570;1450;5760
055700020020;Ennigerloh, Stadt;3310;460;3510;5980
055700028028;Oelde, Stadt;7200;1100;6920;6470
055700032032;Ostbevern;1570;560;1420;3450
055700036036;Sassenberg, Stadt;2260;420;2670;4540
055700040040;Sendenhorst, Stadt;2480;350;2640;3800
055700044044;Telgte, Stadt;3150;680;4560;5910
055700048048;Wadersloh;2240;340;1680;3820
055700052052;Warendorf, Stadt;9200;950;7570;8800
057110000000;Bielefeld, Stadt;112140;7550;61320;32710
057540008008;Gütersloh, Stadt;28350;2380;28910;16390
057540012012;Halle (Westf.), Stadt;4490;630;7450;5280
057540016016;Harsewinkel, Stadt;5280;560;6990;5950
057540020020;Herzebrock-Clarholz;2990;520;4190;5120
057540028028;Rheda-Wiedenbrück, Stadt;11940;800;13160;10890
057540032032;Rietberg, Stadt;6630;1040;7840;7450
057540036036;Schloß Holte-Stukenbrock, Stadt;5500;770;5970;7480
057540040040;Steinhagen;3030;440;5020;6370
057540044044;Verl, Stadt;5230;790;9090;7570
057540048048;Versmold, Stadt;5400;670;4700;4680
057540052052;Werther (Westf.), Stadt;1530;300;2420;3770
057580004004;Bünde, Stadt;9950;1060;9830;11560
057580008008;Enger, Stadt;2050;680;3600;7440
057580012012;Herford, Stadt;15040;2130;23950;13650
057580016016;Hiddenhausen;1970;460;3810;7390
057580020020;Kirchlengern;1960;520;4670;5580
057580024024;Löhne, Stadt;6870;1000;8810;11760
057580032032;Spenge, Stadt;1660;310;2460;5320
057580036036;Vlotho, Stadt;3340;670;4270;5480
057620004004;Bad Driburg, Stadt;4660;670;3420;3580
057620008008;Beverungen, Stadt;2790;510;1550;3070
057620016016;Brakel, Stadt;3960;340;3990;3740
057620020020;Höxter, Stadt;7750;670;6490;6530
057620032032;Steinheim, Stadt;2400;260;2890;3640
057620036036;Warburg, Stadt;6600;430;4930;4210
057660008008;Bad Salzuflen, Stadt;11540;1390;10990;10930
057660016016;Blomberg, Stadt;3300;380;5240;3930
057660020020;Detmold, Stadt;19690;2680;17490;13650
057660028028;Extertal;2500;280;2120;2830
057660032032;Horn-Bad Meinberg, Stadt;2350;440;2630;5000
057660036036;Kalletal;2010;400;1680;4320
057660040040;Lage, Stadt;4400;700;4430;11200
057660044044;Lemgo, Stadt;10480;1220;10230;8400
057660048048;Leopoldshöhe;1780;460;3080;5950
057660052052;Lügde, Stadt;1350;330;1280;3390
057660056056;Oerlinghausen, Stadt;1960;400;3730;5990
057700004004;Bad Oeynhausen, Stadt;11030;1420;14750;10160
057700008008;Espelkamp, Stadt;4960;570;7050;5820
057700012012;Hille;2060;310;2270;5860
057700016016;Hüllhorst;1850;360;2340;4400
057700020020;Lübbecke, Stadt;5810;550;10080;6210
057700024024;Minden, Stadt;20410;2840;21340;12230
057700028028;Petershagen, Stadt;3450;1140;2170;8270
057700032032;Porta Westfalica, Stadt;6050;940;7650;10120
057700036036;Preußisch Oldendorf, Stadt;1840;330;1770;4220
057700040040;Rahden, Stadt;2920;450;3440;4480
057700044044;Stemwede;2990;510;4000;3560
057740008008;Bad Lippspringe, Stadt;2290;580;3220;4090
057740012012;Borchen;1380;300;1770;4890
057740016016;Büren, Stadt;4850;700;4540;5640
057740020020;Delbrück, Stadt;7050;1050;4110;8420
057740024024;Hövelhof;3180;440;3550;4390
057740028028;Lichtenau, Stadt;1440;380;1080;3620
057740032032;Paderborn, Stadt;50400;3780;36710;18210
057740036036;Salzkotten, Stadt;4280;780;5120;8090
057740040040;Bad Wünnenberg, Stadt;2290;420;2300;3470
059110000000;Bochum, Stadt;99950;9480;68270;59620
059130000000;Dortmund, Stadt;172270;11800;94670;75210
059140000000;Hagen, Stadt;54560;4330;31980;26200
059150000000;Hamm, Stadt;51000;4870;22280;23810
059160000000;Herne, Stadt;30630;2190;26070;32470
059540008008;Ennepetal, Stadt;5640;1200;9710;7940
059540012012;Gevelsberg, Stadt;4770;740;6890;9670
059540016016;Hattingen, Stadt;9150;1390;9470;15440
059540020020;Herdecke, Stadt;2830;770;3750;7620
059540024024;Schwelm, Stadt;4450;610;7570;7930
059540028028;Sprockhövel, Stadt;3140;830;5400;9470
059540032032;Wetter (Ruhr), Stadt;4990;710;8410;8040
059540036036;Witten, Stadt;20090;2320;18380;22080
059580004004;Arnsberg, Stadt;24350;2080;11590;10300
059580008008;Bestwig;2250;290;2250;3290
059580012012;Brilon, Stadt;8150;820;5040;4080
059580024024;Marsberg, Stadt;6250;320;2300;3450
059580032032;Meschede, Stadt;9260;610;7600;5030
059580036036;Olsberg, Stadt;4210;330;3300;3110
059580040040;Schmallenberg, Stadt;8200;1110;2870;4060
059580044044;Sundern (Sauerland), Stadt;8420;930;3140;5590
059580048048;Winterberg, Stadt;4000;250;2200;2590
059620004004;Altena, Stadt;3420;620;3050;4530
059620008008;Balve, Stadt;2220;420;1490;3460
059620012012;Halver, Stadt;4000;370;3880;4180
059620016016;Hemer, Stadt;7280;860;7830;8460
059620024024;Iserlohn, Stadt;24210;2530;16840;17930
059620028028;Kierspe, Stadt;3030;530;2120;4490
059620032032;Lüdenscheid, Stadt;24310;1430;18080;9800
059620036036;Meinerzhagen, Stadt;5190;670;5440;4300
059620040040;Menden (Sauerland), Stadt;13450;1100;7380;11670
059620048048;Neuenrade, Stadt;2320;500;2830;3140
059620052052;Plettenberg, Stadt;9100;610;6550;3240
059620056056;Schalksmühle;1670;290;3130;3420
059620060060;Werdohl, Stadt;3910;280;4820;4350
